place_name,place_img,place_map,category,city,rating,price,gabungan
Taman Nasional Gunung Leuser,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/1.%20Taman%20Nasional%20Gunung%20Leuser/main/Taman-Nasional-Gungung-Leuser.jpg,https://www.google.com/maps/search/Taman+Nasional+Gunung+Leuser,"Budaya,Taman Nasional",Aceh,4.5,25000.0,taman nasional gunung leuser salah satu dari enam taman nasional yang terletak di pulau sumatera indonesia taman nasional merupakan salah satu kawasan lindung yang penting bagi flora fauna endemik termasuk spesies langka seperti orangutan sumatera harimau sumatera gajah sumatera budaya taman nasional aceh
Desa Wisata Munduk,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/2.%20Desa%20Wisata%20Munduk/main/munduk-5d0d0eaa097f3620796457b4.jpg,https://goo.gl/maps/LyeJ2mAeFGysTE9v9,Desa Wisata,Bali,4.5,10000.0,desa wisata munduk desa di pegunungan bali yang terkenal dengan keindahan alamnya desa dikelilingi perkebunan kopi kakao rempah rempah memiliki udara segar pemandangan yang menakjubkan di desa wisata munduk pengunjung menikmati keindahan alam trekking melihat air terjun menjelajahi kehidupan desa yang tenang desa wisata bali
Desa Wisata Penglipuran,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/3.%20Desa%20Wisata%20Penglipuran/main/Desa-Wisata-Penglipuran.jpg,https://www.google.com/maps/search/Desa+Wisata+Penglipuran,"Budaya,Desa Wisata",Bali,4.8,25000.0,desa wisata penglipuran desa wisata yang terletak di kabupaten bangli bali indonesia desa terkenal keindahan arsitektur tradisional bali kelestariannya yang terjaga dengan baik penglipuran sering dijuluki desa adat bali yang terbersih kepedulian warganya kebersihan kerapian desa budaya desa wisata bali
Taman Nasional Bali Barat,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/4.%20Taman%20Nasional%20Bali%20Barat/main/119650695-765878017569535-3931804452268588330-n-3f470419c48481a410869607195370a0-ed1e688d065c7651acead0506dba5863.jpg,https://www.google.com/maps/search/Taman+Nasional+Bali+Barat,"Taman Nasional,Cagar Alam",Bali,4.5,15000.0,taman nasional bali barat kawasan konservasi alam yang terletak di pesisir barat pulau bali taman nasional terkenal keindahan alamnya yang meliputi hutan tropis pegunungan ekosistem pesisir kawasan menjadi rumah bagi spesies satwa liar yang dilindungi seperti banteng bali kijang burung jalak bali taman nasional cagar alam bali
Bukit Jamur,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/5.%20Bukit%20Jamur/main/61efa6c24aa12.jpeg,https://www.google.com/maps/search/Bukit+Jamur,Cagar Alam,Bandung,4.2,12000.0,bukit jamur ciwidey satu dari sekian pesona wisata alam yang berada di kecamatan ciwidey kabupaten bandung provinsi jawa barat bukit jamur ciwidey memang memiliki khas wisata ciwidey objek wisata di tengah hamparan kebun teh dengan udara yang sejuk suasana kabut turun di area perkebunan membuat suasana menjadi romatis bukit jamur ciwidey suasananya cocok bagi jomblowan â jomblowati spot dengan latar alam yang indah yang dimungkinkan mampu melupakan sang mantan cagar alam bandung
Bukit Moko,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/6.%20Bukit%20Moko/main/a57a19dac1cab1beb6db33abe5cde628.jpg,https://www.google.com/maps/search/Bukit+Moko,Cagar Alam,Bandung,4.5,25000.0,bandung destinasi wisata tak habisnya didukung dengan lanskap yang cantik kawasan bandung mampu menarik perhatian wisatawan baik dari segi alam budaya kuliner seni kreatif secara bersamaan dari sekian tempat wisata yang tersedia bukit moko bandung menjadi salah satu yang cukup populer namanya tahun belakangan berada di ketinggian sekitar 1500 mdpl bukit moko memiliki cuaca yang sejuk bagi pengunjung yang tidak biasa di cuaca baiknya membawa jaket tebal apalagi datang musim penghujan cagar alam bandung
Curug Bugbrug,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/7.%20Curug%20Bugbrug/main/curug-bugbrug-jawa-barat.jpg,https://www.google.com/maps/search/Curug+Bugbrug,Cagar Alam,Bandung,4.3,7500.0,curug bugbrug sesuai dengan namanya kata bugbrug bahasa sunda berarti bertumpuk tumpah tindih jadi apabila anda ditanya kenapa air terjun di bandung dinamai curug bugbrug maka jawabannya ialah air yang jatuh dari atas ke bawah seperti terlihat bertumpuk tumpuk jatuhnya tersebut terdengar suara di dasar curug seperti â brugâ brugâ brug â begitu saking kerasnya curug yang berada di ketinggian 1 050 meter di atas permukaan air laut memiliki ketinggian dari 50 meter tingginya lebar curug sekitar 2 meter tempat menjadi pusat buruan wisatawan yang berlibur ke bandung cagar alam bandung
Curug Cilengkrang,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/8.%20Curug%20Cilengkrang/main/003-curug-batu-peti-cilengkrang.jpg,https://www.google.com/maps/search/Curug+Cilengkrang,Cagar Alam,Bandung,4.0,7500.0,curug cilengkrang menjadi pilihan tujuan objek wisata alam di bandung menawarkan area hutan sejuk area air terjun yang menyegarkan meski tidak besar kawasan air terjun cukup untuk menenangkan kembali menyegarkan wisatawan seolah bertolak belakang dari hingar bingar kota bandung curug cilengkrang menawarkan wisata alam yang tenang begitu hijau air terjun yang mempesona hutan dengan pepohonan yang begitu asri dimana tempat menjadi habitat hidup satwa liar yang terjaga cagar alam bandung
Curug Cimahi,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/9.%20Curug%20Cimahi/main/46694267_250205232314626_6737470435086041088_n.jpeg,https://www.google.com/maps/search/Curug+Cimahi,Cagar Alam,Bandung,4.1,20000.0,curug cimahi air terjun yang terletak di jalan kolonel masturi desa kertawangi kecamatan cisarua kabupaten bandung barat jawa barat dengan ketinggian sekitar 87 meter menjadikan air terjun salah satu curug tertinggi di wilayah bandung sekitarnya nama cimahi berasal dari nama sungai yang mengalir di atasnya sungai cimahi yang berhulu di situ danau lembang mengalir ke kota cimahi destinasi wisata berjarak kurang 10 kilometer dari kota cimahi ke arah lembang 20 kilometer dari kota bandung cagar alam bandung
Curug Cipanas,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/10.%20Curug%20Cipanas/main/Curug-Cipanas-Nagrak-Kancah-Bandung.jpg,https://www.google.com/maps/search/Curug+Cipanas,Cagar Alam,Bandung,4.0,25000.0,siapa bilang berendam air panas merogoh kocek kabupaten bandung barat punya solusi bagi pelancong yang ingin merasakan manfaat air panas pegunungan asli membayar mahal curug cipanas nagrak objek wisata alam yang menawarkan pemandian air panas alami pemandian air panas bahkan tidak sekadar kolam melainkan berupa air terjun alami di tengah kawasan perkebunan mata airnya mengalir deras menjadi air terjun kecil di tengah lahan perbukitan hijau pengunjung merasakan sensasi berendam di kolam air panas yang nyaman di tengah alam terbuka cagar alam bandung
